Continent,History Natural Gas - Proved Reserves (Tcm),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
North America,Canada,"2,4","2,5","2,5","2,5","2,7","2,7","2,7","2,6","2,6","2,7","2,7","2,6","2,6","2,2","1,9","1,9","1,9","1,8","1,7","1,7","1,6","1,7","1,6","1,6","1,6","1,6","1,6","1,6","1,7","1,6","1,9","1,8","1,9","1,9","1,9","2,1","2,0","2,0","1,9","2,0","2,4"
North America,Mexico,"1,8","2,1","2,1","2,1","2,1","2,1","2,1","2,1","2,0","2,0","2,0","2,0","1,9","1,9","1,9","1,9","1,8","1,8","0,8","0,8","0,8","0,8","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,3","0,4","0,4","0,4","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2"
North America,US,"5,4","5,5","5,5","5,4","5,4","5,2","5,2","5,1","4,6","4,5","4,6","4,5","4,5","4,4","4,4","4,5","4,5","4,5","4,4","4,5","4,8","5,0","5,1","5,1","5,2","5,5","5,7","6,4","6,6","7,4","8,3","9,1","8,4","9,2","10,0","8,3","8,7","11,9","12,9","12,6","12,6"
S. & Cent. America,Argentina,"0,6","0,6","0,7","0,7","0,7","0,7","0,7","0,7","0,8","0,7","0,6","0,6","0,5","0,5","0,5","0,6","0,6","0,7","0,7","0,7","0,8","0,7","0,6","0,6","0,5","0,4","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4"
S. & Cent. America,Bolivia,"0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2"
S. & Cent. America,Brazil,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,5","0,4","0,4","0,4","0,4","0,4","0,3"
S. & Cent. America,Colombia,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
S. & Cent. America,Peru,^,^,^,^,^,^,"0,1","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,4","0,3","0,3","0,3"
S. & Cent. America,Trinidad & Tobago,"0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,3","0,3","0,4","0,5","0,5","0,6","0,5","0,6","0,6","0,5","0,5","0,5","0,5","0,5","0,4","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3"
S. & Cent. America,Venezuela,"1,4","1,5","1,6","1,7","1,8","1,9","2,9","3,2","3,2","3,3","3,8","4,0","4,1","4,1","4,4","4,5","4,5","4,6","4,6","4,6","4,6","4,6","4,6","4,7","4,8","4,8","5,2","5,4","5,5","5,6","6,1","6,1","6,2","6,2","6,2","6,3","6,4","6,3","6,3","6,3","6,3"
S. & Cent. America,Other S. & Cent. America,"0,2","0,2","0,1","0,2","0,2","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Europe,Denmark,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",^,^,^,^,^,^,^,^,^,^
Europe,Germany,"0,3","0,2","0,2","0,3","0,3","0,3","0,4","0,4","0,4","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",^,^,^,^,^,^,^
Europe,Italy,"0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",^,^,^,^,^,^
Europe,Netherlands,"2,0","1,9","1,9","1,8","1,8","1,8","1,7","1,7","1,7","1,6","1,9","1,8","1,8","1,8","1,8","1,7","1,7","1,7","1,7","1,6","1,6","1,5","1,5","1,4","1,4","1,3","1,3","1,2","1,2","1,2","1,2","1,1","0,8","0,8","0,7","0,7","0,7","0,6","0,2","0,1","0,1"
Europe,Norway,"0,4","0,4","0,3","0,4","0,4","0,5","0,4","1,2","1,7","1,7","1,7","1,3","1,4","1,3","1,3","1,3","1,5","1,2","1,2","1,2","1,2","2,2","2,1","2,4","2,4","2,3","2,3","2,3","2,2","2,0","2,0","2,1","2,1","2,0","1,9","1,8","1,8","1,7","1,6","1,5","1,4"
Europe,Poland,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Europe,Romania,"0,3","0,3","0,2","0,2","0,2","0,3","0,2","0,2","0,2","0,1","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
Europe,Ukraine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"0,7","0,8","0,8","0,8","0,8","0,8","0,8","0,8","0,8","0,8","0,8","0,8","0,7","0,7","0,7","1,2","1,1","1,1","1,1","1,1","1,0","1,1","1,1","1,1"
Europe,United Kingdom,"0,7","0,6","0,6","0,7","0,7","0,6","0,6","0,6","0,6","0,5","0,5","0,5","0,6","0,6","0,6","0,7","0,7","0,7","0,7","0,8","0,7","0,7","0,6","0,6","0,5","0,5","0,4","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
Europe,Other Europe,"0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
CIS,Azerbaijan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"0,7","0,7","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,0","1,1","1,0","1,0","1,0","1,0",^,"1,3","1,3","1,3","1,3","2,1","2,5","2,5"
CIS,Kazakhstan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","2,3","2,3","2,3","2,3","2,3"
CIS,Russian Federation,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"33,9","34,7","34,7","34,5","33,7","33,4","33,6","33,4","32,9","33,2","33,4","33,9","33,8","33,6","33,8","33,8","33,9","34,0","34,0","34,1","34,5","34,6","34,9","35,0","35,0","34,8","37,9","37,6","37,6","37,4"
CIS,Turkmenistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,8","1,8","1,8","1,8","1,8","1,8","1,8","1,8","1,8","1,8","5,7","5,7","7,9","13,6","13,6","13,6","13,6","13,6","13,6","13,6","13,6","13,6","13,6","13,6"
CIS,USSR,"20,5","21,7","22,4","23,0","24,0","25,6","26,2","26,7","27,2","33,3","34,9","2,4","2,4","3,4","3,9","4,1","3,9",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
CIS,Uzbekistan,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,8","0,8","0,8","0,8","0,8","0,8","0,8","0,8","0,8"
CIS,Other CIS,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Middle East,Bahrain,"0,6","0,6","0,5","0,5","0,5","0,5","0,5","0,5","0,5","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1"
Middle East,Iran,"13,3","13,3","13,3","13,3","13,2","13,2","13,2","13,1","13,4","16,1","16,1","18,7","19,6","19,6","19,6","18,3","21,7","21,7","22,8","24,4","25,4","25,4","26,0","26,9","26,8","26,0","25,4","26,6","28,0","28,0","32,3","32,8","31,9","32,1","32,1","31,6","31,8","31,9","32,0","32,1","32,1"
Middle East,Iraq,"0,7","0,7","0,8","0,8","0,8","0,8","0,8","1,0","2,6","3,0","3,0","2,9","2,9","2,9","3,0","3,2","3,2","3,0","3,0","3,1","3,0","3,0","3,0","3,0","3,0","3,0","3,0","3,0","3,0","3,0","3,0","3,0","3,0","3,0","3,0","3,0","3,6","3,6","3,5","3,5","3,5"
Middle East,Israel,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,5","0,4","0,6","0,6"
Middle East,Kuwait,"1,0","1,0","1,0","1,0","1,0","1,0","1,1","1,1","1,3","1,3","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,5","1,5","1,5","1,5","1,5","1,5","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7","1,7"
Middle East,Oman,"0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,1","0,1","0,2","0,2","0,4","0,6","0,5","0,6","0,8","0,8","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,9","0,5","0,5","0,5","0,5","0,7","0,7","0,7","0,7","0,7","0,7","0,7","0,7"
Middle East,Qatar,"2,9","2,9","3,3","3,5","4,4","4,6","4,6","4,6","4,8","4,8","4,8","6,7","6,9","7,3","7,3","8,8","8,8","8,8","11,3","11,5","14,9","26,7","26,7","26,2","26,2","25,0","26,4","26,4","26,3","26,2","25,9","25,9","25,8","25,5","25,4","25,1","24,9","24,7","24,7","24,7","24,7"
Middle East,Saudi Arabia,"3,0","3,2","3,3","3,4","3,4","3,5","3,8","4,0","4,8","5,0","5,0","5,0","5,0","5,0","5,0","5,3","5,4","5,6","5,8","5,8","6,0","6,1","6,3","6,4","6,4","6,5","6,7","6,9","7,1","7,4","7,5","7,6","7,7","7,8","7,9","8,0","8,0","5,7","5,9","6,0","6,0"
Middle East,Syria,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3"
Middle East,United Arab Emirates,"2,3","2,5","2,9","3,0","3,0","3,1","5,3","5,5","5,5","5,5","5,5","5,6","5,7","5,7","6,6","5,7","5,6","5,9","5,8","5,8","5,8","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9","5,9"
Middle East,Yemen,-,-,-,-,-,-,^,"0,1","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3"
Middle East,Other Middle East,-,-,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^
Africa,Algeria,"3,6","3,5","3,5","3,4","3,3","3,2","3,1","3,0","3,1","3,1","3,2","3,5","3,5","3,6","2,9","3,6","3,6","3,9","3,9","4,4","4,4","4,4","4,4","4,4","4,4","4,3","4,3","4,3","4,3","4,3","4,3","4,3","4,3","4,3","4,3","4,3","4,3","4,3","4,3","4,3","2,3"
Africa,Egypt,"0,1","0,1","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,6","0,6","0,6","0,8","0,9","1,0","1,2","1,4","1,5","1,6","1,7","1,8","1,8","1,9","2,0","2,1","2,1","2,1","2,1","2,1","2,1","2,1","2,0","2,1","2,1","2,1","2,1","2,1"
Africa,Libya,"0,7","0,6","0,6","0,6","0,6","0,6","0,7","0,7","0,8","1,2","1,1","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,2","1,4","1,4","1,4","1,4","1,3","1,5","1,5","1,5","1,4","1,5","1,5","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4"
Africa,Nigeria,"1,1","1,1","1,3","1,3","1,3","1,3","2,3","2,3","2,4","2,7","2,7","3,2","3,5","3,5","3,3","3,3","3,3","3,3","3,3","3,3","3,9","4,4","4,7","4,9","5,0","4,9","4,9","5,0","5,0","5,0","4,9","4,9","4,9","4,9","5,1","5,0","5,2","5,3","5,4","5,5","5,5"
Africa,Other Africa,"0,3","0,3","0,4","0,5","0,5","0,6","0,7","0,8","0,8","0,8","0,8","0,7","0,8","0,7","0,7","0,8","0,8","0,8","0,8","0,8","1,0","1,0","1,0","1,0","1,0","1,1","1,1","1,1","1,1","1,2","1,2","1,3","1,3","1,2","1,2","1,2","1,3","1,3","1,3","1,6","1,6"
Asia Pacific,Australia,"0,1","0,4","0,5","0,5","0,5","0,6","0,7","0,8","0,8","0,7","0,7","0,7","0,8","0,8","1,0","1,0","1,1","1,2","1,6","1,6","1,7","2,1","2,0","1,9","1,8","1,8","1,9","1,8","2,7","2,8","2,9","2,8","2,8","2,8","2,4","2,4","2,4","2,4","2,4","2,4","2,4"
Asia Pacific,Bangladesh,"0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,7","0,7","0,7","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,3","0,4","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,1"
Asia Pacific,Brunei,"0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2"
Asia Pacific,China,"0,7","0,7","0,9","0,9","0,9","0,9","0,9","0,9","0,9","1,0","1,0","1,0","1,4","1,7","1,7","1,7","1,2","1,2","1,4","1,4","1,4","1,4","1,3","1,3","1,5","1,5","1,7","2,3","2,7","2,9","2,7","2,9","3,1","3,4","3,6","4,7","5,5","6,1","6,4","8,4","8,4"
Asia Pacific,India,"0,3","0,4","0,4","0,5","0,5","0,5","0,5","0,5","0,6","0,7","0,7","0,7","0,7","0,7","0,7","0,7","0,6","0,7","0,6","0,6","0,7","0,7","0,7","0,8","0,9","1,1","1,0","1,0","1,0","1,1","1,1","1,2","1,3","1,3","1,4","1,2","1,2","1,2","1,3","1,3","1,3"
Asia Pacific,Indonesia,"0,8","0,9","1,0","1,2","1,7","2,0","2,3","2,4","2,6","2,6","2,9","1,9","1,8","1,8","1,8","2,0","2,1","2,2","2,2","2,7","2,7","2,6","2,6","2,6","2,8","2,5","2,7","3,0","3,2","3,1","3,0","3,0","3,0","2,9","2,9","2,8","2,9","2,9","2,8","1,4","1,3"
Asia Pacific,Malaysia,"0,6","0,6","0,6","0,6","0,7","0,7","0,7","0,7","0,7","0,7","0,8","0,9","1,0","1,0","1,1","1,0","1,0","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,1","1,0","1,1","1,0","1,0","1,1","1,0","0,9","0,9","0,9","0,9","0,9"
Asia Pacific,Myanmar,"0,1","0,1","0,1","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,5","0,5","0,5","0,5","0,3","0,3","0,2","0,2","0,3","0,5","0,5","0,5","0,5","0,5","0,5","0,4","0,4"
Asia Pacific,Pakistan,"0,3","0,3","0,4","0,3","0,3","0,3","0,4","0,4","0,3","0,3","0,4","0,4","0,5","0,4","0,5","0,4","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,5","0,6","0,7","0,7","0,7","0,6","0,6","0,6","0,5","0,5","0,5","0,5","0,4","0,4","0,4","0,4","0,4","0,4"
Asia Pacific,Papua New Guinea,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2"
Asia Pacific,Thailand,"0,3","0,4","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,4","0,3","0,4","0,4","0,4","0,4","0,3","0,3","0,3","0,3","0,4","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1"
Asia Pacific,Vietnam,-,-,-,-,-,-,-,-,-,-,^,^,"0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,5","0,6","0,7","0,6","0,6","0,6","0,6","0,6","0,6","0,6","0,6","0,6","0,6","0,6"
Asia Pacific,Other Asia Pacific,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
World,Total World,"70,9","73,5","75,8","77,4","80,2","82,4","88,3","90,8","94,8","105,5","108,4","114,2","116,8","118,0","118,8","119,1","122,3","125,0","128,5","131,9","138,0","152,5","153,9","154,6","155,0","153,4","155,3","162,7","166,0","169,0","179,9","181,9","180,8","181,3","183,2","181,2","183,5","187,8","189,1","190,3","188,1"
World,OECD,"14,1","14,6","14,6","14,9","15,0","14,9","14,9","15,6","15,4","15,3","15,3","14,8","14,9","14,3","14,2","14,2","14,4","14,0","13,2","13,4","13,6","14,9","14,3","14,3","14,2","14,3","14,3","14,8","15,8","16,3","17,6","18,2","17,4","18,1","18,1","16,5","16,5","19,9","20,2","20,0","20,3"
World,Non-OECD,"56,8","58,9","61,2","62,5","65,2","67,5","73,4","75,2","79,3","90,1","93,0","99,4","101,9","103,7","104,6","104,9","108,0","111,0","115,3","118,5","124,4","137,6","139,6","140,2","140,8","139,0","141,0","147,9","150,2","152,6","162,4","163,7","163,4","163,2","165,1","164,7","167,0","168,0","168,9","170,3","167,8"
World,European Union,"3,1","3,0","2,9","3,0","3,0","3,0","3,0","3,0","2,9","2,9","3,2","3,2","3,1","3,0","2,9","2,9","2,8","2,8","2,7","2,7","2,5","2,5","2,4","2,2","2,1","2,1","1,9","1,8","1,7","1,7","1,6","1,5","1,3","1,2","1,1","1,1","1,0","0,9","0,5","0,4","0,4"